TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 285.81487
PSUR = 1017.24
boresightNadirAngle = 0.
latitude = -39.245551
longitude = 180.71173
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude    TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m           K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  43  19.5734000   26.52468700 2.2241E2 4.5367E-6 3.8E-4 6.8785E-6 1.9216E-7 2.3022E-8 1.3753E-6 1.E-20 2.1081E-9  2.5848E-9  3.9276E-9  1.E-20
  44  17.7828000   27.15549500 2.2310E2 4.5967E-6 3.8E-4 7.1710E-6 1.8076E-7 2.3890E-8 1.3593E-6 1.E-20 2.6116E-9  3.0762E-9  3.9585E-9  1.E-20
  45  16.1560000   27.78837200 2.2378E2 4.6597E-6 3.8E-4 7.4640E-6 1.7028E-7 2.4785E-8 1.3442E-6 1.E-20 3.2147E-9  3.6335E-9  3.9703E-9  1.E-20
  46  14.6780000   28.42325600 2.2442E2 4.7390E-6 3.8E-4 7.6805E-6 1.6197E-7 2.5673E-8 1.3340E-6 1.E-20 3.7862E-9  4.0735E-9  3.8490E-9  1.E-20
  47  13.3352000   29.06010100 2.2507E2 4.8197E-6 3.8E-4 7.9047E-6 1.5414E-7 2.6597E-8 1.3239E-6 1.E-20 4.4634E-9  4.5685E-9  3.7324E-9  1.E-20
  48  12.1153000   29.69894200 2.2576E2 4.9135E-6 3.8E-4 7.9696E-6 1.4308E-7 2.7160E-8 1.3061E-6 1.E-20 5.2214E-9  4.9813E-9  3.5734E-9  1.E-20
  49  11.0070000   30.33986500 2.2645E2 5.0099E-6 3.8E-4 8.0253E-6 1.3263E-7 2.7711E-8 1.2880E-6 1.E-20 6.1052E-9  5.4224E-9  3.4185E-9  1.E-20
  50  10.0000000   30.98308800 2.2725E2 5.1073E-6 3.8E-4 8.0142E-6 1.1801E-7 2.8044E-8 1.2480E-6 1.E-20 7.0327E-9  5.7825E-9  3.2040E-9  1.E-20
  51  9.0851400    31.62877200 2.2810E2 5.2062E-6 3.8E-4 7.9763E-6 1.0338E-7 2.8287E-8 1.2007E-6 1.E-20 8.0522E-9  6.1155E-9  2.9781E-9  1.E-20
  52  8.2540200    32.27709000 2.2904E2 5.3016E-6 3.8E-4 7.9434E-6 9.0722E-8 2.8500E-8 1.1566E-6 1.E-20 9.0241E-9  6.3320E-9  2.6997E-9  1.E-20
  53  7.4989300    32.92836500 2.3009E2 5.3912E-6 3.8E-4 7.9171E-6 7.9788E-8 2.8669E-8 1.1159E-6 1.E-20 9.8303E-9  6.3728E-9  2.3669E-9  1.E-20
  54  6.8129100    33.58281700 2.3118E2 5.4809E-6 3.8E-4 7.8891E-6 7.0390E-8 2.8854E-8 1.0772E-6 1.E-20 1.0680E-8  6.3962E-9  2.0689E-9  1.E-20
  55  6.1896600    34.24086600 2.3254E2 5.5559E-6 3.8E-4 7.8440E-6 6.3430E-8 2.9170E-8 1.0435E-6 1.E-20 1.1353E-8  6.2437E-9  1.7557E-9  1.E-20
  56  5.6234200    34.90290500 2.3389E2 5.6319E-6 3.8E-4 7.7992E-6 5.7167E-8 2.9489E-8 1.0109E-6 1.E-20 1.2070E-8  6.0951E-9  1.4899E-9  1.E-20
  57  5.1089800    35.56935500 2.3555E2 5.6957E-6 3.8E-4 7.7002E-6 4.7648E-8 2.9493E-8 9.4920E-7 1.E-20 1.2513E-8  5.7567E-9  1.2163E-9  1.E-20
  58  4.6416000    36.24083200 2.3733E2 5.7544E-6 3.8E-4 7.5797E-6 3.8428E-8 2.9363E-8 8.7952E-7 1.E-20 1.2835E-8  5.3616E-9  9.7683E-10 1.E-20
  59  4.2169800    36.91764300 2.3921E2 5.8085E-6 3.8E-4 7.4327E-6 3.1550E-8 2.9287E-8 8.2010E-7 1.E-20 1.3164E-8  4.9570E-9  7.7972E-10 1.E-20
  60  3.8311700    37.60044400 2.4140E2 5.8481E-6 3.8E-4 7.2104E-6 2.7229E-8 2.9361E-8 7.7835E-7 1.E-20 1.3496E-8  4.4894E-9  6.1177E-10 1.E-20
  61  3.4806900    38.28953300 2.4358E2 5.8880E-6 3.8E-4 6.9948E-6 2.3512E-8 2.9438E-8 7.3880E-7 1.E-20 1.3837E-8  4.0659E-9  4.8002E-10 1.E-20
  62  3.1622700    38.98510100 2.4585E2 5.9146E-6 3.8E-4 6.6885E-6 2.0039E-8 2.9571E-8 6.9463E-7 1.E-20 1.3983E-8  3.5278E-9  3.6225E-10 1.E-20
  63  2.8729800    39.68732900 2.4816E2 5.9373E-6 3.8E-4 6.3681E-6 1.7016E-8 2.9723E-8 6.5127E-7 1.E-20 1.4070E-8  3.0220E-9  2.7021E-10 1.E-20
  64  2.6101600    40.39616600 2.5040E2 5.9574E-6 3.8E-4 6.0323E-6 1.4632E-8 2.9968E-8 6.1375E-7 1.E-20 1.4162E-8  2.5618E-9  1.9972E-10 1.E-20
  65  2.3713700    41.11130000 2.5245E2 5.9682E-6 3.8E-4 5.6154E-6 1.3132E-8 3.0536E-8 5.8848E-7 1.E-20 1.4267E-8  2.0952E-9  1.4305E-10 1.E-20
