TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 297.89999
PSUR = 1002.81
boresightNadirAngle = 0.
latitude = -10.064706
longitude = 168.77684
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O        CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR        VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  57  5.1089800    35.899475000 2.4271E2 4.8051E-6 3.8E-4 9.1039E-6 1.4476E-7  4.3726E-8 1.3751E-6 1.E-20 9.0618E-9  5.7757E-9  9.5736E-10 1.E-20
  58  4.6416000    36.592673000 2.4542E2 4.8920E-6 3.8E-4 8.4280E-6 1.2686E-7  4.3889E-8 1.3220E-6 1.E-20 1.0495E-8  5.7421E-9  8.4222E-10 1.E-20
  59  4.2169800    37.293302000 2.4784E2 4.9756E-6 3.8E-4 7.8233E-6 1.1146E-7  4.4129E-8 1.2735E-6 1.E-20 1.2029E-8  5.6059E-9  7.3235E-10 1.E-20
  60  3.8311700    37.999849000 2.4943E2 5.0469E-6 3.8E-4 7.3173E-6 9.8654E-8  4.4591E-8 1.2339E-6 1.E-20 1.3390E-8  5.2007E-9  6.1633E-10 1.E-20
  61  3.4806900    38.711016000 2.5103E2 5.1193E-6 3.8E-4 6.8441E-6 8.7290E-8  4.5057E-8 1.1955E-6 1.E-20 1.4905E-8  4.8248E-9  5.1871E-10 1.E-20
  62  3.1622700    39.426639000 2.5245E2 5.1795E-6 3.8E-4 6.4443E-6 7.6824E-8  4.5699E-8 1.1460E-6 1.E-20 1.5937E-8  4.2313E-9  4.1258E-10 1.E-20
  63  2.8729800    40.146388000 2.5382E2 5.2365E-6 3.8E-4 6.0798E-6 6.7509E-8  4.6402E-8 1.0951E-6 1.E-20 1.6837E-8  3.6491E-9  3.2268E-10 1.E-20
  64  2.6101600    40.870250000 2.5524E2 5.2934E-6 3.8E-4 5.7279E-6 6.0286E-8  4.7263E-8 1.0537E-6 1.E-20 1.7706E-8  3.1126E-9  2.4862E-10 1.E-20
  65  2.3713700    41.598641000 2.5686E2 5.3486E-6 3.8E-4 5.3701E-6 5.6849E-8  4.8658E-8 1.0383E-6 1.E-20 1.8330E-8  2.5570E-9  1.8198E-10 1.E-20
  66  2.1544300    42.331777000 2.5847E2 5.4044E-6 3.8E-4 5.0347E-6 5.3609E-8  5.0095E-8 1.0230E-6 1.E-20 1.8976E-8  2.1006E-9  1.3321E-10 1.E-20
  67  1.9573400    43.069548000 2.6001E2 5.4601E-6 3.8E-4 4.6719E-6 4.5270E-8  5.0526E-8 9.6393E-7 1.E-20 1.9111E-8  1.6684E-9  9.2754E-11 1.E-20
  68  1.7782800    43.811816000 2.6151E2 5.5162E-6 3.8E-4 4.3091E-6 3.5839E-8  5.0350E-8 8.8477E-7 1.E-20 1.8938E-8  1.2993E-9  6.2720E-11 1.E-20
  69  1.6156000    44.558530000 2.6301E2 5.5728E-6 3.8E-4 3.9746E-6 2.8381E-8  5.0174E-8 8.1213E-7 1.E-20 1.8767E-8  1.0118E-9  4.2412E-11 1.E-20
  70  1.4678000    45.309032000 2.6404E2 5.6159E-6 3.8E-4 3.6539E-6 2.7398E-8  5.1645E-8 7.9994E-7 1.E-20 1.8797E-8  7.9819E-10 2.9422E-11 1.E-20
  71  1.3335200    46.062651000 2.6507E2 5.6592E-6 3.8E-4 3.3588E-6 2.6545E-8  5.3191E-8 7.8893E-7 1.E-20 1.8830E-8  6.2981E-10 2.0421E-11 1.E-20
  72  1.2115300    46.819388000 2.6613E2 5.7019E-6 3.8E-4 3.0804E-6 2.4756E-8  5.4452E-8 7.6892E-7 1.E-20 1.8775E-8  4.9734E-10 1.4220E-11 1.E-20
  73  1.1006900    47.579536000 2.6729E2 5.7428E-6 3.8E-4 2.8082E-6 2.0953E-8  5.4896E-8 7.2723E-7 1.E-20 1.8497E-8  3.9348E-10 9.9873E-12 1.E-20
  74  1.0000000    48.343095000 2.6845E2 5.7839E-6 3.8E-4 2.5602E-6 1.7740E-8  5.5344E-8 6.8786E-7 1.E-20 1.8224E-8  3.1132E-10 7.0121E-12 1.E-20
  75  0.8254040    49.878508000 2.7005E2 5.8243E-6 3.8E-4 2.1519E-6 1.2253E-8  5.5682E-8 6.1576E-7 1.E-20 1.6662E-8  1.8792E-10 3.4011E-12 1.E-20
  76  0.6812920    51.418932000 2.6995E2 5.8381E-6 3.8E-4 1.8471E-6 8.7623E-9  5.6507E-8 5.5943E-7 1.E-20 1.5172E-8  1.1429E-10 1.7277E-12 1.E-20
  77  0.5623410    52.952135000 2.6726E2 5.8277E-6 3.8E-4 1.6350E-6 6.7964E-9  5.8540E-8 5.2153E-7 1.E-20 1.4166E-8  7.1836E-11 9.6026E-13 1.E-20
  78  0.4641590    54.464474000 2.6239E2 5.8236E-6 3.8E-4 1.4776E-6 3.8032E-9  6.0122E-8 4.6146E-7 1.E-20 1.2273E-8  4.2654E-11 5.5918E-13 1.E-20
  79  0.3831180    55.950750000 2.5788E2 5.8230E-6 3.8E-4 1.3201E-6 2.4918E-9  6.2805E-8 4.2338E-7 1.E-20 1.0565E-8  2.5628E-11 3.2852E-13 1.E-20
  80  0.3162290    57.414789000 2.5439E2 5.8280E-6 3.8E-4 1.1510E-6 2.2871E-9  6.7759E-8 4.1835E-7 1.E-20 9.1002E-9  1.5878E-11 1.9465E-13 1.E-20
  81  0.2610170    58.860031000 2.5106E2 5.8314E-6 3.8E-4 9.8738E-7 1.8504E-9  7.3665E-8 4.0427E-7 1.E-20 7.4456E-9  9.7597E-12 1.1065E-13 1.E-20
  82  0.2154430    60.287330000 2.4787E2 5.8336E-6 3.8E-4 8.3680E-7 1.3681E-9  8.0523E-8 3.8455E-7 1.E-20 5.8738E-9  5.9657E-12 6.1089E-14 1.E-20
  83  0.1778280    61.693499000 2.4348E2 5.8335E-6 3.8E-4 7.0844E-7 1.1587E-9  9.0777E-8 3.7347E-7 1.E-20 4.7402E-9  3.9992E-12 3.6786E-14 1.E-20
  84  0.1467800    63.072555000 2.3818E2 5.8317E-6 3.8E-4 5.9917E-7 1.0905E-9  1.0482E-7 3.6861E-7 1.E-20 3.8933E-9  2.8798E-12 2.3692E-14 1.E-20
  85  0.1211530    64.420514000 2.3242E2 5.8273E-6 3.8E-4 5.0288E-7 1.0310E-9  1.1930E-7 3.6406E-7 1.E-20 3.2016E-9  2.2270E-12 1.5736E-14 1.E-20
  86  0.0999995    65.732931000 2.2556E2 5.8165E-6 3.8E-4 4.1448E-7 9.8577E-10 1.3129E-7 3.6015E-7 1.E-20 2.6405E-9  2.0377E-12 1.1242E-14 1.E-20
