TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 302.39513
PSUR = 1006.77
boresightNadirAngle = 0.
latitude = -19.810126
longitude = 171.97993
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  45  16.1560000   28.010329000 2.2559E2 4.5277E-6 3.8E-4 8.0599E-6 1.8768E-7 2.5336E-8 1.3806E-6 1.E-20 2.7596E-9  3.4012E-9  3.2643E-9  1.E-20
  46  14.6780000   28.650567000 2.2636E2 4.6033E-6 3.8E-4 8.2672E-6 1.7305E-7 2.6088E-8 1.3561E-6 1.E-20 3.4025E-9  3.9672E-9  3.2918E-9  1.E-20
  47  13.3352000   29.293121000 2.2713E2 4.6803E-6 3.8E-4 8.4799E-6 1.5959E-7 2.6863E-8 1.3320E-6 1.E-20 4.1960E-9  4.6285E-9  3.3201E-9  1.E-20
  48  12.1153000   29.938114000 2.2801E2 4.7634E-6 3.8E-4 8.5299E-6 1.4415E-7 2.7436E-8 1.3018E-6 1.E-20 5.0136E-9  5.1526E-9  3.2528E-9  1.E-20
  49  11.0070000   30.585744000 2.2890E2 4.8483E-6 3.8E-4 8.5706E-6 1.3008E-7 2.8008E-8 1.2718E-6 1.E-20 5.9802E-9  5.7212E-9  3.1817E-9  1.E-20
  50  10.0000000   31.236414000 2.3002E2 4.9345E-6 3.8E-4 8.6238E-6 1.1989E-7 2.8636E-8 1.2490E-6 1.E-20 6.8363E-9  6.1003E-9  2.9723E-9  1.E-20
  51  9.0851400    31.890513000 2.3123E2 5.0222E-6 3.8E-4 8.6825E-6 1.1151E-7 2.9299E-8 1.2292E-6 1.E-20 7.6818E-9  6.3988E-9  2.7256E-9  1.E-20
  52  8.2540200    32.548299000 2.3255E2 5.1094E-6 3.8E-4 8.6828E-6 1.0285E-7 2.9884E-8 1.2053E-6 1.E-20 8.5472E-9  6.6019E-9  2.4638E-9  1.E-20
  53  7.4989300    33.210194000 2.3403E2 5.1954E-6 3.8E-4 8.6048E-6 9.3725E-8 3.0354E-8 1.1759E-6 1.E-20 9.3850E-9  6.6621E-9  2.1849E-9  1.E-20
  54  6.8129100    33.876420000 2.3550E2 5.2835E-6 3.8E-4 8.5216E-6 8.4966E-8 3.0793E-8 1.1449E-6 1.E-20 1.0285E-8  6.7014E-9  1.9309E-9  1.E-20
  55  6.1896600    34.547044000 2.3704E2 5.3798E-6 3.8E-4 8.3818E-6 7.3085E-8 3.0846E-8 1.0917E-6 1.E-20 1.1058E-8  6.5290E-9  1.6488E-9  1.E-20
  56  5.6234200    35.222173000 2.3857E2 5.4779E-6 3.8E-4 8.2443E-6 6.2869E-8 3.0900E-8 1.0409E-6 1.E-20 1.1889E-8  6.3613E-9  1.4079E-9  1.E-20
  57  5.1089800    35.902174000 2.4037E2 5.5757E-6 3.8E-4 8.0204E-6 5.1608E-8 3.0698E-8 9.7807E-7 1.E-20 1.2539E-8  5.9976E-9  1.1649E-9  1.E-20
  58  4.6416000    36.587591000 2.4228E2 5.6744E-6 3.8E-4 7.7664E-6 4.1557E-8 3.0391E-8 9.1296E-7 1.E-20 1.3117E-8  5.5767E-9  9.5120E-10 1.E-20
  59  4.2169800    37.278803000 2.4435E2 5.7648E-6 3.8E-4 7.4883E-6 3.3191E-8 3.0050E-8 8.4724E-7 1.E-20 1.3600E-8  5.1083E-9  7.6287E-10 1.E-20
  60  3.8311700    37.976780000 2.4689E2 5.8282E-6 3.8E-4 7.1336E-6 2.5883E-8 2.9610E-8 7.7306E-7 1.E-20 1.3749E-8  4.4864E-9  5.8176E-10 1.E-20
  61  3.4806900    38.682046000 2.4942E2 5.8922E-6 3.8E-4 6.7958E-6 2.0214E-8 2.9176E-8 7.0543E-7 1.E-20 1.3901E-8  3.9402E-9  4.4366E-10 1.E-20
  62  3.1622700    39.394623000 2.5192E2 5.9202E-6 3.8E-4 6.3747E-6 1.6530E-8 2.9134E-8 6.5207E-7 1.E-20 1.3993E-8  3.3315E-9  3.2702E-10 1.E-20
