TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 86 x 15
surfaceTemperature = 298.22244
PSUR = 1002.21
boresightNadirAngle = 0.
latitude = 4.8906652
longitude = 165.19489
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       CO2    O3        N2O       CO        CH4       O2     NO         NO2        HNO3       OCS   
-     hPa          m            K        VMR       VMR    VMR       VMR       VMR       VMR       VMR    VMR        VMR        VMR        VMR   
  46  14.6780000   28.666032000 2.2535E2 4.3392E-6 3.8E-4 9.2337E-6 2.4716E-7 2.6298E-8 1.5579E-6 1.E-20 1.2894E-9  1.9861E-9  1.5926E-9  1.E-20
  47  13.3352000   29.304706000 2.2540E2 4.3675E-6 3.8E-4 9.6530E-6 2.4163E-7 2.7244E-8 1.5482E-6 1.E-20 1.6084E-9  2.3395E-9  1.5753E-9  1.E-20
  48  12.1153000   29.944045000 2.2575E2 4.3811E-6 3.8E-4 1.0096E-5 2.3906E-7 2.8625E-8 1.5440E-6 1.E-20 1.8633E-9  2.5702E-9  1.4962E-9  1.E-20
  49  11.0070000   30.584517000 2.2611E2 4.3938E-6 3.8E-4 1.0560E-5 2.3669E-7 3.0101E-8 1.5402E-6 1.E-20 2.1495E-9  2.8124E-9  1.4179E-9  1.E-20
  50  10.0000000   31.226834000 2.2692E2 4.4104E-6 3.8E-4 1.0822E-5 2.3026E-7 3.1689E-8 1.5310E-6 1.E-20 2.5899E-9  3.1688E-9  1.3795E-9  1.E-20
  51  9.0851400    31.871825000 2.2791E2 4.4286E-6 3.8E-4 1.1000E-5 2.2244E-7 3.3379E-8 1.5196E-6 1.E-20 3.1763E-9  3.6129E-9  1.3566E-9  1.E-20
  52  8.2540200    32.520301000 2.2931E2 4.4594E-6 3.8E-4 1.1033E-5 2.1159E-7 3.5045E-8 1.4988E-6 1.E-20 3.8632E-9  4.0607E-9  1.3257E-9  1.E-20
  53  7.4989300    33.173678000 2.3127E2 4.5073E-6 3.8E-4 1.0870E-5 1.9713E-7 3.6632E-8 1.4656E-6 1.E-20 4.6471E-9  4.4785E-9  1.2848E-9  1.E-20
  54  6.8129100    33.832856000 2.3330E2 4.5578E-6 3.8E-4 1.0680E-5 1.8362E-7 3.8260E-8 1.4337E-6 1.E-20 5.5834E-9  4.9229E-9  1.2400E-9  1.E-20
  55  6.1896600    34.499042000 2.3612E2 4.6309E-6 3.8E-4 1.0214E-5 1.7047E-7 3.9632E-8 1.4077E-6 1.E-20 6.6093E-9  5.2175E-9  1.1464E-9  1.E-20
  56  5.6234200    35.173379000 2.3894E2 4.7051E-6 3.8E-4 9.7690E-6 1.5826E-7 4.1054E-8 1.3822E-6 1.E-20 7.8242E-9  5.5300E-9  1.0599E-9  1.E-20
  57  5.1089800    35.855895000 2.4178E2 4.7781E-6 3.8E-4 9.1998E-6 1.4587E-7 4.2100E-8 1.3532E-6 1.E-20 9.0548E-9  5.5967E-9  9.4205E-10 1.E-20
  58  4.6416000    36.546668000 2.4465E2 4.8512E-6 3.8E-4 8.6072E-6 1.3405E-7 4.2988E-8 1.3233E-6 1.E-20 1.0379E-8  5.5546E-9  8.2349E-10 1.E-20
  59  4.2169800    37.245583000 2.4741E2 4.9221E-6 3.8E-4 8.0522E-6 1.2067E-7 4.3745E-8 1.2847E-6 1.E-20 1.1742E-8  5.4030E-9  7.0617E-10 1.E-20
  60  3.8311700    37.952147000 2.4988E2 4.9850E-6 3.8E-4 7.5309E-6 1.0248E-7 4.4084E-8 1.2220E-6 1.E-20 1.2806E-8  4.9668E-9  5.7378E-10 1.E-20
  61  3.4806900    38.665833000 2.5236E2 5.0486E-6 3.8E-4 7.0435E-6 8.7109E-8 4.4428E-8 1.1624E-6 1.E-20 1.3966E-8  4.5659E-9  4.6621E-10 1.E-20
  62  3.1622700    39.386150000 2.5443E2 5.1090E-6 3.8E-4 6.5641E-6 7.7100E-8 4.5096E-8 1.1172E-6 1.E-20 1.4969E-8  4.0059E-9  3.6464E-10 1.E-20
  63  2.8729800    40.112344000 2.5638E2 5.1688E-6 3.8E-4 6.1109E-6 6.9061E-8 4.5873E-8 1.0771E-6 1.E-20 1.5962E-8  3.4660E-9  2.8198E-10 1.E-20
  64  2.6101600    40.844133000 2.5826E2 5.2304E-6 3.8E-4 5.6813E-6 6.2184E-8 4.6805E-8 1.0396E-6 1.E-20 1.6929E-8  2.9646E-9  2.1545E-10 1.E-20
  65  2.3713700    41.581165000 2.5992E2 5.2961E-6 3.8E-4 5.2574E-6 5.6994E-8 4.8260E-8 1.0071E-6 1.E-20 1.7629E-8  2.4380E-9  1.5796E-10 1.E-20
  66  2.1544300    42.323074000 2.6158E2 5.3627E-6 3.8E-4 4.8652E-6 5.2240E-8 4.9760E-8 9.7572E-7 1.E-20 1.8358E-8  2.0050E-9  1.1581E-10 1.E-20
  67  1.9573400    43.069680000 2.6311E2 5.4287E-6 3.8E-4 4.4806E-6 4.6342E-8 5.1117E-8 9.3822E-7 1.E-20 1.8719E-8  1.6080E-9  8.2298E-11 1.E-20
  68  1.7782800    43.820715000 2.6457E2 5.4947E-6 3.8E-4 4.1147E-6 4.0344E-8 5.2398E-8 8.9824E-7 1.E-20 1.8853E-8  1.2706E-9  5.7425E-11 1.E-20
  69  1.6156000    44.576101000 2.6604E2 5.5615E-6 3.8E-4 3.7787E-6 3.5138E-8 5.3712E-8 8.6004E-7 1.E-20 1.8989E-8  1.0041E-9  4.0072E-11 1.E-20
  70  1.4678000    45.334809000 2.6677E2 5.6060E-6 3.8E-4 3.4797E-6 2.9686E-8 5.4257E-8 8.1299E-7 1.E-20 1.8866E-8  7.8902E-10 2.8026E-11 1.E-20
  71  1.3335200    46.095754000 2.6748E2 5.6505E-6 3.8E-4 3.2044E-6 2.5069E-8 5.4794E-8 7.6833E-7 1.E-20 1.8739E-8  6.1996E-10 1.9602E-11 1.E-20
  72  1.2115300    46.858539000 2.6796E2 5.6895E-6 3.8E-4 2.9603E-6 2.1236E-8 5.5261E-8 7.2757E-7 1.E-20 1.8545E-8  4.8717E-10 1.3865E-11 1.E-20
  73  1.1006900    47.622059000 2.6782E2 5.7139E-6 3.8E-4 2.7566E-6 1.8128E-8 5.5539E-8 6.9244E-7 1.E-20 1.8181E-8  3.8289E-10 1.0089E-11 1.E-20
  74  1.0000000    48.385285000 2.6768E2 5.7383E-6 3.8E-4 2.5670E-6 1.5482E-8 5.5818E-8 6.5902E-7 1.E-20 1.7824E-8  3.0095E-10 7.3417E-12 1.E-20
  75  0.8254040    49.911822000 2.6770E2 5.7699E-6 3.8E-4 2.2128E-6 1.3582E-8 5.7871E-8 6.3416E-7 1.E-20 1.7095E-8  1.8961E-10 4.0709E-12 1.E-20
  76  0.6812920    51.437568000 2.6715E2 5.7905E-6 3.8E-4 1.9157E-6 1.1454E-8 5.9940E-8 6.0705E-7 1.E-20 1.5895E-8  1.1752E-10 2.1998E-12 1.E-20
  77  0.5623410    52.957595000 2.6544E2 5.8014E-6 3.8E-4 1.6766E-6 8.1452E-9 6.1109E-8 5.5721E-7 1.E-20 1.4012E-8  7.0037E-11 1.1086E-12 1.E-20
  78  0.4641590    54.464138000 2.6218E2 5.8148E-6 3.8E-4 1.4824E-6 5.0939E-9 6.2383E-8 4.9687E-7 1.E-20 1.2113E-8  4.1760E-11 5.7261E-13 1.E-20
  79  0.3831180    55.952727000 2.5890E2 5.8299E-6 3.8E-4 1.3018E-6 3.5696E-9 6.4886E-8 4.5573E-7 1.E-20 1.0582E-8  2.5586E-11 3.1601E-13 1.E-20
  80  0.3162290    57.423826000 2.5584E2 5.8477E-6 3.8E-4 1.1274E-6 3.1393E-9 6.9797E-8 4.4199E-7 1.E-20 9.4504E-9  1.6464E-11 1.9586E-13 1.E-20
  81  0.2610170    58.879192000 2.5315E2 5.8580E-6 3.8E-4 9.5722E-7 2.5800E-9 7.5614E-8 4.2501E-7 1.E-20 7.7917E-9  1.0225E-11 1.1305E-13 1.E-20
  82  0.2154430    60.320631000 2.5072E2 5.8632E-6 3.8E-4 8.0145E-7 2.0261E-9 8.2329E-8 4.0619E-7 1.E-20 6.0763E-9  6.1979E-12 6.2278E-14 1.E-20
  83  0.1778280    61.741552000 2.4578E2 5.8683E-6 3.8E-4 6.8334E-7 1.7924E-9 8.8563E-8 3.9750E-7 1.E-20 5.0604E-9  4.2865E-12 3.9534E-14 1.E-20
  84  0.1467800    63.129275000 2.3890E2 5.8734E-6 3.8E-4 5.9089E-7 1.7358E-9 9.4391E-8 3.9621E-7 1.E-20 4.4328E-9  3.2829E-12 2.7952E-14 1.E-20
  85  0.1211530    64.477542000 2.3180E2 5.8761E-6 3.8E-4 5.0546E-7 1.6135E-9 1.0369E-7 3.9000E-7 1.E-20 3.7830E-9  2.6275E-12 1.9837E-14 1.E-20
  86  0.0999995    65.784336000 2.2421E2 5.8728E-6 3.8E-4 4.2147E-7 1.3604E-9 1.2227E-7 3.7259E-7 1.E-20 3.0333E-9  2.3315E-12 1.4168E-14 1.E-20
