# AFGL atmospheric constituent profile. U.S. standard atmosphere 1976. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   288.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  1
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
30    5.74600  35.0000 236.5000 7.8427E-06 7.2852E-09 1.1100E-10 1.1600E-11 0.0000E+00 4.9035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
31    4.15000  37.5000 242.9000 7.8034E-06 6.2627E-09 1.1300E-10 1.2100E-11 0.0000E+00 4.9521E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
32    2.87100  40.0000 250.4000 7.3049E-06 4.0327E-09 1.0300E-10 1.3600E-11 0.0000E+00 5.0284E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
33    2.06000  42.5000 257.3000 6.2045E-06 2.1716E-09 7.9500E-11 1.6500E-11 0.0000E+00 5.1537E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
34    1.49100  45.0000 264.2000 5.2532E-06 1.1507E-09 4.8200E-11 2.1000E-11 0.0000E+00 5.2282E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
35    1.09000  47.5000 270.6000 4.1035E-06 6.6657E-10 1.6300E-11 2.7700E-11 0.0000E+00 5.2545E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
36    0.79780  50.0000 270.7000 3.1020E-06 4.4329E-10 5.1000E-12 3.5600E-11 0.0000E+00 5.2284E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
37    0.42500  55.0000 260.8000 1.8011E-06 3.3920E-10 2.0000E-12 4.5900E-11 0.0000E+00 5.1030E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
38    0.21900  60.0000 247.0000 1.1007E-06 2.8518E-10 1.0500E-12 5.1500E-11 0.0000E+00 4.7531E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
39    0.10900  65.0000 233.3000 7.0042E-07 2.5315E-10 6.8600E-13 5.1100E-11 0.0000E+00 4.2025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
