# AFGL atmospheric constituent profile. midlatitude summer. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   294.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
29    9.30000  32.5000 239.0000 8.1047E-06 7.2142E-09 1.0100E-11 1.2100E-11 0.0000E+00 4.8528E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
30    6.52000  35.0000 245.2000 8.9050E-06 7.2841E-09 1.1100E-10 1.1600E-11 0.0000E+00 4.9528E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
31    4.64000  37.5000 251.3000 8.7044E-06 6.2632E-09 1.1300E-10 1.2100E-11 0.0000E+00 5.0025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
32    3.33000  40.0000 257.5000 7.5552E-06 4.0328E-09 1.0300E-10 1.3600E-11 0.0000E+00 5.1035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
33    2.41000  42.5000 263.7000 5.9041E-06 2.1715E-09 7.9500E-11 1.6500E-11 0.0000E+00 5.3037E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
34    1.76000  45.0000 269.9000 4.5028E-06 1.1507E-09 4.8200E-11 2.1000E-11 0.0000E+00 5.4534E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
35    1.29000  47.5000 275.2000 3.5030E-06 6.6657E-10 1.6300E-11 2.7700E-11 0.0000E+00 5.5047E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
36    0.95100  50.0000 275.7000 2.8018E-06 4.4329E-10 5.1000E-12 3.5600E-11 0.0000E+00 5.5036E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
37    0.51500  55.0000 269.3000 1.8012E-06 3.3922E-10 2.0000E-12 4.5900E-11 0.0000E+00 5.3535E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
38    0.27200  60.0000 257.1000 1.3009E-06 2.8520E-10 1.0500E-12 5.1500E-11 0.0000E+00 5.0035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
