# AFGL atmospheric constituent profile. subarctic summer. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   287.2000
SurfacePressure(hPa) =  1010.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
40    0.07100  70.0000 216.6000 4.0031E-07 2.3118E-10 5.1400E-13 4.3200E-11 0.0000E+00 3.3025E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
41    0.03200  75.0000 193.6000 2.0014E-07 2.1515E-10 4.1600E-13 2.8300E-11 0.0000E+00 2.7019E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
42    0.01250  80.0000 170.6000 1.8014E-07 2.0216E-10 3.5300E-13 1.3300E-11 0.0000E+00 2.0015E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
43    0.00451  85.0000 161.7000 6.5060E-07 1.9218E-10 3.0900E-13 5.5600E-12 0.0000E+00 1.3312E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
44    0.00161  90.0000 161.6000 9.0062E-07 1.8313E-10 2.7600E-13 2.2400E-12 0.0000E+00 8.5059E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
45    0.00061  95.0000 176.8000 8.0046E-07 1.7610E-10 2.5000E-13 8.9600E-13 0.0000E+00 5.4031E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
46    0.00025 100.0000 190.4000 4.0030E-07 1.7013E-10 2.3000E-13 3.5800E-13 0.0000E+00 4.0030E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
47    0.00011 105.0000 226.0000 2.0014E-07 1.6412E-10 2.1300E-13 1.4300E-13 0.0000E+00 3.4024E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
48    0.00006 110.0000 270.1000 5.0033E-08 1.5911E-10 1.9800E-13 5.7300E-14 0.0000E+00 2.8019E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
49    0.00004 115.0000 322.7000 5.0035E-09 1.5511E-10 1.8600E-13 2.2900E-14 0.0000E+00 2.4017E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
50    0.00002 120.0000 380.0000 5.0039E-10 1.5112E-10 1.7500E-13 9.1700E-14 0.0000E+00 2.0016E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
