# AFGL atmospheric constituent profile. subarctic winter. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   257.2000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
29    6.91000  32.5000 218.5000 5.9038E-06 7.2146E-09 1.0100E-11 1.2100E-11 0.0000E+00 5.0032E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
30    4.70100  35.0000 222.3000 6.2054E-06 7.2864E-09 1.1100E-10 1.1600E-11 0.0000E+00 5.0044E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
31    3.23000  37.5000 228.5000 6.2571E-06 6.2671E-09 1.1300E-10 1.2100E-11 0.0000E+00 5.0057E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
32    2.24300  40.0000 234.7000 5.9043E-06 4.0329E-09 1.0300E-10 1.3600E-11 0.0000E+00 5.0037E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
33    1.57000  42.5000 240.8000 5.1040E-06 2.1717E-09 7.9500E-11 1.6500E-11 0.0000E+00 5.0039E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
34    1.11300  45.0000 247.0000 4.1029E-06 1.1508E-09 4.8200E-11 2.1000E-11 0.0000E+00 5.0035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
35    0.79000  47.5000 253.2000 3.0016E-06 6.6635E-10 1.6300E-11 2.7700E-11 0.0000E+00 5.0026E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
36    0.57190  50.0000 259.3000 2.6025E-06 4.4343E-10 5.1000E-12 3.5600E-11 0.0000E+00 4.9548E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
37    0.29900  55.0000 259.1000 1.6011E-06 3.3923E-10 2.0000E-12 4.5900E-11 0.0000E+00 4.8533E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
38    0.15500  60.0000 250.9000 9.5075E-07 2.8522E-10 1.0500E-12 5.1500E-11 0.0000E+00 4.5035E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
39    0.07900  65.0000 248.4000 6.5042E-07 2.5317E-10 6.8600E-13 5.1100E-11 0.0000E+00 4.0026E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
40    0.04000  70.0000 245.4000 5.0018E-07 2.3108E-10 5.1400E-13 4.3200E-11 0.0000E+00 3.3012E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
