# AFGL atmospheric constituent profile. tropical. ( AFGL-TR-86-0110)       
Data_size = 50 x 21
ProfileIsLevel = 0
YYYY_MM_DD_HH = 9999 99 99 99
Lon_lat =  -999.99  -99.99
SZA_VZA_AZA =    99.9999   99.9999  9999.9999
SurfaceTemperature(K) =   299.7000
SurfacePressure(hPa) =  1013.0000
IsOcean =  0
WindSpeed(m.s-1) =     9.9999
CloudFraction =     9.9999
CloudTopPressure =   999.9999
****** End_Of_Header ******
Lev  Pressure Altitude   TATM       O3         NO2       HCHO        SO2       GLYX        H2O        BRO       OCLO        OSU        OBC        OOC        OSF        OSC        ODU        OWC        OIC        RH    
       hPa      km        K        VMR         VMR        VMR        VMR        VMR        VMR        VMR        VMR                                                                                                 %     
39    0.12100  65.0000 236.0000 6.5043E-07 2.5317E-10 6.8600E-13 5.1100E-11 0.0000E+00 5.4036E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
40    0.05800  70.0000 218.9000 3.0014E-07 2.3111E-10 5.1400E-13 4.3200E-11 0.0000E+00 4.5021E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
41    0.02600  75.0000 201.8000 1.8012E-07 2.1514E-10 4.1600E-13 2.8300E-11 0.0000E+00 3.3022E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
42    0.01100  80.0000 184.8000 3.3021E-07 2.0213E-10 3.5300E-13 1.3300E-11 0.0000E+00 2.1013E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
43    0.00440  85.0000 177.1000 5.0042E-07 1.9216E-10 3.0900E-13 5.5600E-12 0.0000E+00 1.3011E-06 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
44    0.00172  90.0000 177.0000 5.2035E-07 1.8312E-10 2.7600E-13 2.2400E-12 0.0000E+00 8.5057E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
45    0.00069  95.0000 184.3000 5.0041E-07 1.7614E-10 2.5000E-13 8.9600E-13 0.0000E+00 5.4044E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
46    0.00029 100.0000 190.7000 4.0013E-07 1.7006E-10 2.3000E-13 3.5800E-13 0.0000E+00 4.0013E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
47    0.00013 105.0000 212.0000 2.0016E-07 1.6413E-10 2.1300E-13 1.4300E-13 0.0000E+00 3.4028E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
48    0.00006 110.0000 241.6000 5.0035E-08 1.5911E-10 1.9800E-13 5.7300E-14 0.0000E+00 2.8020E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
49    0.00004 115.0000 299.7000 5.0034E-09 1.5510E-10 1.8600E-13 2.2900E-14 0.0000E+00 2.4016E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
50    0.00002 120.0000 380.0000 4.9259E-10 1.4876E-10 1.7500E-13 9.1700E-14 0.0000E+00 1.9704E-07 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00 0.0000E+00
