TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 47 x 10
surfaceTemperature = 314.783
PSUR = 1013.91
boresightNadirAngle = 0.
latitude = 36.0325
longitude = -76.973
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
  26  245.2780000  11.027323000 2.2407E2 1.1894E-4 9.8043E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  27  176.9300000  13.114857000 2.1119E2 2.3075E-5 1.3769E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  28  127.8370000  15.108006000 2.0620E2 6.0687E-6 3.1209E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  29  92.3655000   17.083798000 2.0727E2 4.5858E-6 5.0796E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  30  66.6032000   19.101506000 2.1210E2 4.2493E-6 1.6556E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  31  47.6437000   21.215126000 2.1642E2 4.4679E-6 2.6375E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  32  33.8098000   23.414884000 2.1886E2 4.6495E-6 4.6311E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  33  23.7302000   25.715683000 2.2195E2 4.8002E-6 6.3468E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  34  16.4569000   28.146987000 2.2826E2 4.9719E-6 8.3439E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  35  11.2767000   30.725828000 2.3375E2 5.2204E-6 9.0286E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  36  7.6196600    33.461492000 2.3847E2 5.4826E-6 8.7130E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  37  5.0466200    36.391861000 2.4238E2 5.6898E-6 8.0598E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  38  3.2762500    39.521817000 2.4699E2 5.8884E-6 6.4552E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  39  2.0847800    42.893795000 2.5639E2 6.1767E-6 4.4702E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  40  1.3003200    46.517924000 2.6114E2 6.3830E-6 3.1732E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  41  0.7949490    50.300953000 2.5650E2 6.5601E-6 2.2598E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  42  0.4756210    54.176555000 2.5094E2 6.6502E-6 1.4824E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  43  0.2783410    58.088675000 2.3954E2 6.6384E-6 9.9147E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  44  0.1593090    62.011054000 2.3206E2 6.5022E-6 6.9558E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  45  0.0891595    65.993176000 2.2767E2 6.3594E-6 4.6490E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  46  0.0473995    70.266652000 2.2501E2 5.9723E-6 2.1664E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  47  0.0198145    76.115826000 2.2322E2 5.8958E-6 5.2179E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
