TES_File_ID = "L2: True Full State Vector Data"
Data_Size = 48 x 10
surfaceTemperature = 311.698
PSUR = 1007.28
boresightNadirAngle = 0.
latitude = 40.3
longitude = -74.7
End_of_Header  ****  End_of_Header  ****  End_of_Header  ****  End_of_Header
Level Pressure     Altitude     TATM     H2O       O3        NO2        HCHO       SO2        CO        
  32  47.6439000   21.212152000 2.1804E2 4.5191E-6 2.6231E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  33  33.8100000   23.428285000 2.2048E2 4.7170E-6 4.2764E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  34  23.7304000   25.746399000 2.2365E2 4.8829E-6 6.4596E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  35  16.4571000   28.191306000 2.2908E2 5.0924E-6 8.3368E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  36  11.2769000   30.774504000 2.3371E2 5.3723E-6 8.7046E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  37  7.6198700    33.515452000 2.3942E2 5.6277E-6 8.4783E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  38  5.0468300    36.463794000 2.4439E2 5.8286E-6 7.8551E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  39  3.2764600    39.629989000 2.5066E2 6.0020E-6 6.1739E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  40  2.0850000    43.043106000 2.5888E2 6.2878E-6 4.2618E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  41  1.3005400    46.695019000 2.6266E2 6.4585E-6 3.0688E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  42  0.7951630    50.502811000 2.5844E2 6.6257E-6 2.2264E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  43  0.4758350    54.411807000 2.5352E2 6.6783E-6 1.4528E-6 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  44  0.2785550    58.372856000 2.4336E2 6.6383E-6 9.8177E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  45  0.1595240    62.361750000 2.3670E2 6.5195E-6 6.8451E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  46  0.0893743    66.421345000 2.3278E2 6.3812E-6 4.5950E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  47  0.0476143    70.780062000 2.3041E2 6.2945E-6 2.1547E-7 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
  48  0.0200293    76.730757000 2.2882E2 6.0609E-6 5.0504E-8 1.0000E-20 1.0000E-20 1.0000E-20 1.0000E-20
